TialeSauriki,English Translation
naβul βa sanaβul,14_onethousand
naβul raβrua,424_seventy
sanaβul molima,284_fifteen
naβul tol,460_thirty
sanaβul moraβrua,423_seventeen
naβul βa es,13_onehundred
moes,1_one
sanaβul,10_ten
raβaːte,9_nine
naβul lima,12_fifty
morua,2_two
molima,5_five
sanaβul moes,257_eleven
sanaβul molimaraβe,430_sixteen
sanaβul moraβaːt,367_nineteen
naβul raptol,256_eighty
naβul limaraβe,431_sixty
moβaːti,4_four
motol,3_three
naβul βaːti,289_forty
raptolu,8_eight
naβul rua,11_twenty
sanaβul morua,477_twelve
sanaβul movaːti,288_fourteen
raβrua,7_seven
naβul raβat,368_ninety
limaraβe,6_six
sanaβul moraβtolu,255_eighteen
sanaβul motolu,459_thirteen
matui,229_coconut
βiaroa,492_taro_wild
akona,402_pig_tusk
poe lalasu,401_pig_male
paka,208_banyan_tree
wita,371_octopus
leβu,216_breadfruit
cenu,417_sail
uma,291_garden
lan,232_cyclone
tolfin,246_dolphin
alo,450_sun
aːpo,223_canoe
teana,338_menstruation
kura,398_pig_female
parana,412_reef
kam,496_yam
muj,252_earthquake
paoe,425_shark
loma,485_taro_wet
moli,227_chief
poe,396_pig
rave,399_pig_hermaphrodite
peta waro koru,249_taro_dry
βaβaj sule,225_cave
suru,474_wood_for_moving_stones
βatal,207_banana
paloa,333_manioc
suma,493_yam_wild
fitu,84_star
vinavina,189_shoot
kotaːni,164_cry
roroci,188_cook
sanaβul,9_nine
suika,54_bone
aβun,137_new
luβluβun,195_all
akoka,47_tooth
t̠͡s̠inoka,45_mouth
mʷapeka,59_liver
taːsi,88_sea
taβana,105_branch
mataka,42_eye
tuene,199_and
korupi,169_hit
talapa,489_wide
papauna,71_wing
talapa,119_big
oːne,93_earthsoil
limaka,48_hand
nao,18_i
wula,83_moon
tolina,69_egg
raptolu,7_seven
pon,82_night
liβan liβan,132_far
saːle,148_flyverb
t̠͡s̠art̠͡s̠aw,129_dirty
kok,85_sky
manu,61_bird
isaβaw,138_other
koatrot,212_to_bite
βaepena,123_shyashamed
kololoso,147_swim
ponana,162_sniffsmell
tapʷet,131_heavy
lalolo,39_ininside
porporo,155_dream
cenenoku,465_to_choose
t͡ʃoβi,143_fall
irarua,28_theyboth
ananisa,33_when
kojlejla,168_pound
taun,15_year
tamekmecin,136_wet
marita,63_snake
komalt̠͡s̠aura,179_tieup
mataet̠͡s̠ina,362_needle
motol,3_three
ariβĭ,66_rat
liβane,36_that
taposĭ,258_fat
cene,35_this
marauka,17_left
kualali,140_walk
puaβo,94_dust
talika,57_intestines
pilika,49_shoulder
ima,111_house
pej,86_water
t͡ʃirae,130_rotten
tamakala,171_split
morua,2_two
takara,116_red
nol,121_sharp
kamiu,25_youall
pota,97_cloud
tesari,146_climb
tamam,78_father
sarika,52_leg
βuluna,72_feather
matuaka,16_right
tatunu,419_salt
cenie,26_heshe
tenmauri,157_live
makamaka,109_flower
movaːt,4_four
apale mena,34_how
nok leβine,80_wife
centeβuj,133_near
masmasum,177_breathe
wuluka,41_hair
koanan,151_eat
aːs,112_rope
tauku,73_man
esam,76_name
karua,20_webothincl
ravaːte,8_eight
mat̠͡s̠mat̠͡s̠,64_worm
utuka,65_louse
tacilecile,359_narrow
kamarua,24_youboth
apale,311_if
laβaβana,38_below
kamrua,21_webothexcl
koβarae,182_say
lan,98_wind
tapolpolo,181_swell
moes,1_one
koko,152_drink
komukamuka,464_to_chew
taβuko,115_white
celcelete,145_turn
mapurpuri,180_squeeze
komatao,175_fear
nopu,87_lake
kokauti,184_stab
tiaj,29_nonot
lajlan,165_blow
mamaβ,91_ash
nok tauku,79_husband
taparparo,117_green
wiao,107_wood
met͡ʃmet͡ʃom,125_painfulsick
patuka,40_head
marmariβi,134_cold
koβule,170_cut
tamat̠͡s̠ina,118_yellow
komkomi,315_know_understand
maːt̠͡s̠,62_fish
βenβenuka,55_skin
loβeaw,103_woodsforest
usa,96_rain
la,202_at
taloklok,127_bad
prin,99_thunder
muj,68_mosquito
tacilecile,120_small
rao,106_leaf
koeβi,176_count
maraβ,340_fog
tamate,122_bluntdull
raːpʷiku,77_mother
sule,92_stone
kolulua,178_vomit
pajaw,102_fruit
pej taβuraβura,286_flow
wuswus,95_sand
taprono,456_thick
tamasamasa,135_dry
taone,166_burn
karkarumi,183_scratch
kuβaraβrea,128_correcttrue
konoka,50_neck
rokoroko,457_thin
koplej,149_throw
sej,31_who
tapaneka,56_belly
sio,142_sit
kowanoma,139_come
talo,114_black
paβrono,161_hear
lalana βaβa,153_yawn
malapoe,156_sleep
talalapa,124_old
asu,90_smoke
kotula,167_sew
koaːre,191_open
kaeka,53_blood
tamamasa,126_good
korerel,160_see
kokurŭ,172_dig
koβoli,185_buy
woj,60_dog
tenmate,158_die
korupuni,159_kill
βleβlej,100_lightning
tului,448_suck
kokao,174_hold
palis,108_grass
kolaβo,187_plant
mʷemeka,46_tongue
loto,154_spit
konisa,163_laugh
tani punaj,150_hide
aβene,32_where
arina,104_root
taβarun,483_hot
aroi,186_steal
kot͡ʃurwoj,173_hunt
ire,27_theyall
levine,74_woman
aːpu,89_fire
βicina,70_tail
tamauri,302_to_grow
aloni,37_above
sala,416_road
rani,81_day
iko,23_thou
kalnam,44_ear
taputputu,426_short
susuka,58_breast
konoromaloa,144_liedown
taparaβ,328_long
pipinis,458_to_think
suntauka,51_back
tăraβĭ,336_meat
ice,22_weallincl
aːto,455_thatch
ire,306_person
mera,75_child
koturi,141_stand
raβrua,6_six
βarea,190_work
lansuka,43_nose
limaraβe,5_five
para,67_spider
